student_id,name,major,gpa_start,archetype,gpa_start,att_month1,avg_it1,avg_roll_w4,engagement_score,lms_logins_per_week,forum_posts,predicted_risk,prob_low,prob_medium,prob_high,true_risk,correct
STU0432,Aarav Jones,Civil,1.0,5,1.0,47.2,0.5,19.66,2.5166666666666666,4.6,0,High,0.0,0.0,1.0,High,True
STU0156,Mia Mirza,Data Science,1.62,3,1.62,68.7,12.2,24.759999999999998,15.984833333333334,5.9,27,High,0.0,0.001,0.999,High,True
STU0416,Ayaan Rao,Civil,1.44,5,1.44,24.9,3.8,24.52,9.861166666666668,2.2,27,High,0.0,0.001,0.999,High,True
STU0050,Rahul Kumar,Civil,1.26,4,1.26,33.4,14.3,25.32,4.157166666666666,0.0,7,High,0.0,0.001,0.999,High,True
STU0138,Reyansh Kumar,Civil,1.0,3,1.0,46.8,17.7,28.72,11.478333333333333,7.4,8,High,0.0,0.002,0.998,High,True
STU0041,Mia Brown,Computer Science,1.0,1,1.0,67.7,25.6,28.52,10.6025,2.1,23,High,0.0,0.002,0.998,High,True
STU0428,Charlotte Hassan,Mathematics,1.0,0,1.0,48.8,26.2,29.18,13.484833333333334,5.8,15,High,0.0,0.002,0.998,High,True
STU0128,Leila Johnson,Civil,1.0,3,1.0,67.1,16.8,28.160000000000004,13.018333333333334,7.0,19,High,0.0,0.002,0.998,High,True
STU0389,Neha Verma,Mathematics,1.76,5,1.76,48.9,7.1,26.78,4.434333333333334,6.9,0,High,0.0,0.002,0.998,High,True
STU0079,Aryan Brown,Electronics,1.2,1,1.2,42.2,32.6,30.059999999999995,12.592833333333333,0.2,14,High,0.0,0.002,0.998,High,True
STU0207,Amir Taylor,Computer Science,1.0,3,1.0,49.9,20.5,30.7,5.336166666666667,1.7,4,High,0.0,0.003,0.997,High,True
STU0121,Noah Ansari,Computer Science,1.0,3,1.0,43.5,16.0,31.139999999999997,15.145000000000001,9.3,15,High,0.0,0.003,0.997,High,True
STU0080,Aditya Ahmed,Mathematics,1.03,0,1.03,30.3,28.6,31.880000000000003,9.217666666666666,3.9,6,High,0.0,0.003,0.997,High,True
STU0297,Suresh Patel,Mathematics,1.29,4,1.29,56.6,9.9,31.18,9.4665,0.0,8,High,0.0,0.004,0.996,High,True
STU0110,Priya Brown,Mechanical,1.0,2,1.0,67.4,29.2,32.12,11.778,5.3,20,High,0.0,0.004,0.996,High,True
STU0084,Anjali Rao,Data Science,1.0,5,1.0,52.4,9.9,32.760000000000005,12.645333333333333,0.0,30,High,0.0,0.005,0.995,High,True
STU0446,Hassan Miller,Mathematics,1.58,3,1.58,57.5,23.5,32.28,5.882333333333333,5.7,5,High,0.0,0.005,0.995,High,True
STU0210,Charlotte Nair,Mechanical,1.0,5,1.0,49.1,12.3,33.14,4.9385,3.0,8,High,0.0,0.005,0.995,High,True
STU0410,Mia Taylor,Computer Science,1.0,2,1.0,62.4,26.8,34.480000000000004,6.901000000000001,3.4,15,High,0.0,0.006,0.994,High,True
STU0186,Kavya Brown,Electronics,1.56,5,1.56,32.8,12.2,33.28,14.677,4.4,32,High,0.0,0.006,0.994,High,True
STU0443,Sophia Davis,Data Science,1.07,0,1.07,49.4,28.1,35.34,7.062666666666668,4.4,0,High,0.0,0.007,0.993,High,True
STU0040,Yusuf Reddy,Mathematics,1.68,4,1.68,62.4,30.3,34.4,10.903166666666667,7.8,19,High,0.0,0.008,0.992,High,True
STU0276,Vivaan Patel,Electronics,1.01,1,1.01,53.3,34.4,36.2,8.581666666666667,7.7,8,High,0.0,0.008,0.992,High,True
STU0330,Kavya Smith,Computer Science,2.92,4,2.92,22.7,20.7,33.339999999999996,13.996166666666667,3.6,22,High,0.0,0.008,0.992,High,True
STU0193,Suresh Davis,Mechanical,1.63,3,1.63,32.3,24.2,35.56,10.632166666666667,4.2,17,High,0.0,0.008,0.992,High,True
STU0009,Aditya Shah,Data Science,2.02,1,2.02,44.1,27.6,35.0,3.9848333333333334,6.1,5,High,0.0,0.008,0.992,High,True
STU0261,Amara Hassan,Electronics,2.17,1,2.17,56.2,31.1,34.08,10.453,5.8,0,High,0.0,0.008,0.992,High,True
STU0387,Ava Singh,Computer Science,1.21,0,1.21,46.0,30.6,37.260000000000005,3.3579999999999997,0.0,11,High,0.0,0.01,0.99,High,True
STU0012,Shreya Malik,Mathematics,1.33,0,1.33,51.2,26.3,36.2,9.138833333333332,6.6,14,High,0.0,0.01,0.99,High,True
STU0351,Sneha Shah,Electronics,1.5,3,1.5,57.9,36.4,36.36,14.304666666666668,5.6,24,High,0.0,0.011,0.989,High,True
STU0374,Reyansh Miller,Electronics,1.21,3,1.21,64.6,22.5,37.32000000000001,4.635666666666666,6.2,7,High,0.0,0.012,0.988,High,True
STU0221,Tanvi Singh,Mechanical,1.48,0,1.48,60.2,28.6,36.68,9.414,7.8,6,High,0.0,0.012,0.988,High,True
STU0255,Vihaan Smith,Electronics,1.74,2,1.74,57.9,25.7,36.160000000000004,13.587333333333335,5.4,6,High,0.0,0.012,0.988,High,True
STU0399,Ava Malik,Electronics,1.25,3,1.25,54.4,20.8,37.839999999999996,8.969666666666667,3.7,14,High,0.0,0.014,0.986,High,True
STU0174,Liam Shah,Data Science,1.19,0,1.19,46.3,43.1,38.980000000000004,8.613666666666667,5.2,13,High,0.0,0.014,0.986,High,True
STU0251,Ishaan Siddiqui,Computer Science,1.85,1,1.85,65.1,32.2,37.760000000000005,7.952666666666667,0.0,13,High,0.0,0.016,0.984,High,True
STU0044,Sneha Kumar,Civil,1.0,0,1.0,60.7,34.5,38.72,19.27766666666667,6.9,26,High,0.0,0.017,0.983,High,True
STU0463,Rohan Wilson,Mathematics,1.0,3,1.0,66.5,29.8,39.4,9.368833333333333,3.8,0,High,0.0,0.018,0.982,High,True
STU0420,Noor Reddy,Data Science,1.0,2,1.0,56.9,32.3,39.7,8.250833333333333,6.5,8,High,0.0,0.018,0.982,High,True
STU0124,Amir Khan,Electronics,1.82,5,1.82,53.5,12.4,38.040000000000006,9.687833333333332,1.8,21,High,0.0,0.018,0.982,High,True
STU0382,Neha Hassan,Civil,1.05,0,1.05,70.3,28.7,39.379999999999995,9.634333333333334,4.7,5,High,0.0,0.019,0.981,High,True
STU0354,Pooja Rao,Civil,1.88,3,1.88,40.3,32.8,38.980000000000004,12.1255,7.9,17,High,0.0,0.019,0.981,High,True
STU0395,Rohan Mirza,Data Science,1.4,1,1.4,70.6,30.4,39.019999999999996,18.6935,5.0,18,High,0.0,0.022,0.978,High,True
STU0149,Hassan Rao,Computer Science,1.62,0,1.62,26.1,30.7,41.4,6.458333333333333,4.8,1,High,0.0,0.024,0.976,High,True
STU0437,Vihaan Brown,Civil,2.02,3,2.02,50.1,31.1,39.3,15.623666666666665,0.1,29,High,0.0,0.024,0.976,High,True
STU0470,Sophia Ahmed,Data Science,1.0,0,1.0,50.3,29.2,41.559999999999995,6.485166666666666,8.6,10,High,0.0,0.024,0.976,High,True
STU0097,Neha Ahmed,Electronics,1.62,6,1.62,65.8,49.2,40.14,19.832,10.6,21,High,0.0,0.026,0.974,High,True
STU0042,Ayaan Ansari,Electronics,1.94,2,1.94,54.3,32.1,39.480000000000004,19.19516666666667,4.8,16,High,0.0,0.026,0.974,High,True
STU0364,Amir Mirza,Mathematics,1.42,1,1.42,38.9,44.2,41.22,22.124333333333333,3.8,29,High,0.0,0.027,0.973,High,True
STU0024,Lakshmi Ali,Mathematics,2.49,1,2.49,45.7,31.4,39.839999999999996,15.113833333333332,3.3,9,High,0.0,0.029,0.971,High,True
STU0123,Rohan Sharma,Data Science,2.02,1,2.02,36.8,32.1,41.42,14.072000000000001,5.1,19,High,0.0,0.032,0.968,High,True
STU0467,Reyansh Davis,Computer Science,1.4,6,1.4,29.9,48.8,43.0,16.0465,4.4,26,High,0.0,0.032,0.968,High,True
STU0391,Noor Mirza,Mechanical,2.67,1,2.67,37.7,37.0,41.0,9.240166666666665,0.0,14,High,0.0,0.033,0.967,High,True
STU0075,Kiran Siddiqui,Civil,1.03,1,1.03,61.2,37.4,42.86,7.546666666666667,6.0,5,High,0.0,0.033,0.967,Medium,False
STU0215,Arjun Siddiqui,Mathematics,2.32,1,2.32,44.6,37.5,41.3,12.871500000000001,6.4,12,High,0.0,0.034,0.966,High,True
STU0498,Rahul Rao,Computer Science,1.78,1,1.78,66.4,34.3,41.260000000000005,11.996333333333334,7.5,15,High,0.0,0.034,0.966,High,True
STU0257,Omar Chaudhary,Mathematics,1.99,3,1.99,60.9,31.9,41.28,10.041333333333332,6.9,12,High,0.0,0.035,0.965,High,True
STU0036,Kiran Williams,Mathematics,2.23,4,2.23,48.2,27.6,41.3,9.051833333333335,3.4,22,High,0.0,0.035,0.965,High,True
STU0117,Yasmin Smith,Mechanical,1.59,0,1.59,44.8,39.1,42.8,10.672666666666666,2.5,20,High,0.0,0.036,0.964,High,True
STU0274,Emma Reddy,Electronics,1.68,4,1.68,55.7,21.1,41.8,9.902833333333334,2.6,14,High,0.0,0.036,0.964,High,True
STU0477,Ananya Moore,Electronics,1.77,0,1.77,36.9,48.6,43.3,11.346666666666666,1.9,17,High,0.0,0.038,0.962,High,True
STU0171,Krishna Shah,Electronics,1.14,2,1.14,62.9,36.4,43.08,14.007833333333336,3.8,14,High,0.0,0.04,0.96,High,True
STU0006,Zara Ansari,Mechanical,1.1,4,1.1,54.4,17.5,42.68,17.865000000000002,8.4,26,High,0.0,0.041,0.959,High,True
STU0246,Aryan Rao,Computer Science,2.06,3,2.06,39.2,35.1,42.78,12.966666666666667,5.9,15,High,0.0,0.042,0.958,High,True
STU0421,Riya Shah,Mathematics,1.09,0,1.09,31.1,41.5,44.14,21.428666666666665,7.9,23,High,0.0,0.042,0.958,High,True
STU0116,Anjali Williams,Mechanical,1.0,3,1.0,66.7,38.5,44.2,6.448000000000001,7.4,2,High,0.0,0.044,0.956,High,True
STU0295,Kiran Rao,Mechanical,2.18,1,2.18,54.4,49.1,43.019999999999996,9.877999999999998,4.5,18,High,0.0,0.045,0.955,High,True
STU0281,Hassan Jones,Computer Science,1.75,3,1.75,54.8,44.3,43.1,16.237166666666667,0.7,14,High,0.0,0.045,0.955,High,True
STU0369,Noor Taylor,Computer Science,1.88,1,1.88,67.0,33.5,42.18,15.6645,7.6,17,High,0.0,0.045,0.955,High,True
STU0272,Shreya Johnson,Civil,1.0,0,1.0,64.3,31.8,43.220000000000006,22.091333333333335,10.6,27,High,0.0,0.046,0.954,High,True
STU0018,Sophia Davis,Electronics,2.33,0,2.33,18.4,42.0,44.42,5.713833333333333,2.8,13,High,0.0,0.048,0.952,High,True
STU0093,Mia Wilson,Computer Science,1.58,3,1.58,63.1,34.4,43.44,14.213666666666668,2.8,2,High,0.0,0.049,0.951,High,True
STU0250,Yasmin Miller,Mathematics,1.4,3,1.4,48.3,38.4,44.64,7.698666666666666,3.6,18,High,0.0,0.049,0.951,High,True
STU0168,Mia Nair,Computer Science,2.77,3,2.77,48.6,33.4,41.760000000000005,18.650333333333336,1.5,24,High,0.0,0.05,0.95,High,True
STU0068,Riya Nair,Data Science,1.42,3,1.42,62.3,29.9,42.94,21.929333333333332,9.1,40,High,0.0,0.05,0.95,High,True
STU0232,Liam Sharma,Data Science,1.91,3,1.91,53.3,36.5,44.06,8.402000000000001,5.7,15,High,0.0,0.053,0.947,High,True
STU0213,Divya Kumar,Mathematics,1.21,0,1.21,72.2,39.7,44.3,14.181666666666667,5.9,21,High,0.0,0.055,0.945,High,True
STU0487,Suresh Ahmed,Computer Science,1.0,1,1.0,63.2,32.9,43.779999999999994,30.260833333333338,12.4,26,High,0.0,0.056,0.944,High,True
STU0316,Sai Khan,Mechanical,1.1,2,1.1,51.6,34.5,44.96,18.471000000000004,11.1,15,High,0.0,0.057,0.943,High,True
STU0196,Olivia Ansari,Civil,2.19,1,2.19,71.9,35.6,42.94,13.556833333333334,9.6,11,High,0.0,0.057,0.943,High,True
STU0426,Pooja Ansari,Computer Science,1.83,4,1.83,50.6,33.9,44.44,14.378666666666666,8.1,9,High,0.0,0.06,0.94,High,True
STU0458,Zara Patel,Data Science,1.76,0,1.76,59.1,30.4,44.42,12.195166666666667,4.9,10,High,0.0,0.062,0.938,High,True
STU0165,Nandini Kumar,Civil,1.64,5,1.64,36.0,15.2,44.96,12.068333333333332,3.9,21,High,0.0,0.063,0.937,High,True
STU0280,Tanvi Joshi,Computer Science,2.56,0,2.56,28.1,29.2,44.980000000000004,8.482166666666668,5.2,15,High,0.0,0.068,0.932,High,True
STU0245,Fatima Hassan,Civil,1.38,4,1.38,69.8,33.8,45.44,8.979833333333334,8.5,7,High,0.0,0.068,0.932,High,True
STU0015,Ayaan Ansari,Data Science,1.57,3,1.57,80.9,46.0,44.56,18.325,10.5,12,High,0.0,0.069,0.931,High,True
STU0413,Aarav Hassan,Mathematics,2.64,5,2.64,30.8,18.8,44.7,7.978000000000001,3.9,12,High,0.0,0.071,0.929,High,True
STU0222,Kiran Brown,Civil,1.7,0,1.7,65.8,39.0,45.44,9.243666666666666,5.0,24,High,0.0,0.072,0.928,High,True
STU0067,Sophia Taylor,Electronics,1.14,0,1.14,47.5,37.1,46.620000000000005,13.477,5.0,20,High,0.0,0.072,0.928,High,True
STU0315,Zara Sharma,Mathematics,1.63,0,1.63,40.0,31.9,46.220000000000006,11.075333333333333,3.7,25,High,0.0,0.073,0.927,High,True
STU0286,Aryan Davis,Mechanical,1.57,3,1.57,69.3,41.2,45.739999999999995,12.514833333333335,4.5,0,High,0.0,0.075,0.925,High,True
STU0092,Divya Sharma,Mechanical,2.14,1,2.14,57.5,35.2,44.6,17.733833333333333,3.6,26,High,0.0,0.075,0.925,High,True
STU0313,Lakshmi Smith,Data Science,2.12,2,2.12,26.4,37.7,46.160000000000004,12.694,1.3,15,High,0.0,0.075,0.925,High,True
STU0241,Yusuf Davis,Computer Science,2.22,1,2.22,53.7,38.4,44.68,20.076166666666666,12.2,17,High,0.0,0.076,0.924,High,True
STU0263,Rahul Joshi,Data Science,1.67,5,1.67,49.9,20.7,45.14,19.035666666666668,6.3,26,High,0.0,0.076,0.924,High,True
STU0230,Divya Rao,Electronics,1.95,1,1.95,60.6,41.6,45.28,16.288,11.3,19,High,0.0,0.078,0.922,High,True
STU0072,Pooja Patel,Mechanical,1.77,3,1.77,54.3,48.8,46.480000000000004,12.576333333333332,4.6,19,High,0.0,0.081,0.919,High,True
STU0363,Divya Nair,Mechanical,1.0,0,1.0,75.7,45.4,47.04,8.982333333333333,5.5,9,High,0.0,0.081,0.919,High,True
STU0450,Amara Ali,Mathematics,1.27,2,1.27,46.5,41.0,47.36,13.248666666666667,3.7,21,High,0.0,0.083,0.917,High,True
STU0004,Tariq Reddy,Data Science,1.43,3,1.43,53.5,46.0,46.96,16.897166666666664,10.4,12,High,0.0,0.085,0.915,High,True
STU0396,Noor Kumar,Mechanical,2.02,1,2.02,56.1,47.0,45.8,18.919333333333334,2.8,25,High,0.0,0.085,0.915,Medium,False
STU0053,Aarav Chaudhary,Mechanical,2.05,1,2.05,58.9,38.3,45.8,15.314499999999999,9.0,24,High,0.0,0.088,0.912,High,True
STU0231,Neha Ansari,Mathematics,1.23,2,1.23,66.6,34.7,47.220000000000006,8.6755,10.1,1,High,0.0,0.089,0.911,High,True
STU0025,Vivaan Patel,Data Science,1.78,2,1.78,52.3,35.4,46.980000000000004,8.579166666666667,3.6,5,High,0.0,0.09,0.91,High,True
STU0188,Aditya Taylor,Electronics,1.0,2,1.0,56.4,29.6,47.660000000000004,12.968333333333334,7.4,16,High,0.0,0.092,0.908,High,True
STU0135,Anjali Mirza,Data Science,1.95,0,1.95,74.8,40.2,46.42,7.374333333333334,3.5,5,High,0.0,0.094,0.906,High,True
STU0162,Aarav Mirza,Mathematics,1.83,5,1.83,46.5,25.0,46.86,13.237,3.6,11,High,0.0,0.097,0.903,High,True
STU0089,Vihaan Mirza,Mathematics,1.29,3,1.29,57.1,40.5,47.82,13.809833333333334,5.0,21,High,0.0,0.099,0.901,High,True
STU0462,Krishna Chaudhary,Mathematics,1.45,6,1.45,49.1,57.0,49.160000000000004,3.831666666666667,4.1,7,High,0.0,0.101,0.899,High,True
STU0406,Mia Williams,Mechanical,2.44,5,2.44,53.5,24.6,46.36,10.244499999999999,0.0,24,High,0.0,0.107,0.893,High,True
STU0275,Tanvi Moore,Civil,1.92,1,1.92,62.0,35.9,47.18,13.085833333333335,9.8,3,High,0.0,0.109,0.891,High,True
STU0177,Anjali Davis,Computer Science,1.44,0,1.44,44.9,38.9,49.059999999999995,6.684833333333333,0.0,8,High,0.0,0.11,0.89,High,True
STU0191,Shreya Singh,Civil,1.74,3,1.74,45.0,41.8,48.5,8.307666666666666,7.2,18,High,0.0,0.11,0.89,High,True
STU0157,Aryan Brown,Mathematics,1.26,1,1.26,63.0,43.5,47.72,23.81216666666667,7.0,31,High,0.0,0.112,0.888,High,True
STU0200,Aryan Reddy,Mathematics,1.49,3,1.49,65.1,54.5,48.9,7.860333333333334,7.3,8,High,0.0,0.115,0.885,High,True
STU0273,Kavya Singh,Civil,2.3,3,2.3,76.7,38.1,46.6,13.9115,5.3,13,High,0.0,0.12,0.88,High,True
STU0478,Rohan Khan,Mechanical,2.53,4,2.53,16.7,37.7,48.86,7.904666666666667,3.5,0,High,0.0,0.122,0.878,High,True
STU0071,Tanvi Sharma,Data Science,1.77,0,1.77,44.9,47.2,48.959999999999994,14.278500000000001,8.1,7,High,0.0,0.124,0.876,High,True
STU0099,Sai Malik,Civil,1.62,3,1.62,53.9,42.7,48.32,20.2365,9.8,22,High,0.0,0.125,0.875,High,True
STU0325,Sneha Wilson,Data Science,1.42,6,1.42,64.6,60.5,49.739999999999995,6.719,3.7,6,High,0.0,0.125,0.875,High,True
STU0335,Vihaan Ali,Computer Science,2.63,3,2.63,69.9,48.7,47.040000000000006,13.368666666666668,9.9,9,High,0.0,0.128,0.872,High,True
STU0056,Krishna Khan,Computer Science,1.0,4,1.0,66.7,36.2,49.019999999999996,19.356833333333334,12.4,17,High,0.0,0.132,0.868,High,True
STU0185,Omar Verma,Mathematics,2.01,0,2.01,51.3,44.3,48.7,12.861166666666668,4.5,18,High,0.0,0.132,0.867,High,True
STU0492,Olivia Jones,Mechanical,2.49,1,2.49,35.4,41.6,48.64,11.039166666666667,0.0,16,High,0.0,0.134,0.866,Medium,False
STU0394,Charlotte Jones,Civil,3.02,2,3.02,49.5,33.5,47.239999999999995,11.621166666666667,3.4,20,High,0.0,0.139,0.861,High,True
STU0209,Meera Shah,Mechanical,1.56,0,1.56,65.7,39.2,49.18,11.457333333333334,1.3,10,High,0.0,0.14,0.86,High,True
STU0438,Neha Moore,Computer Science,1.35,2,1.35,42.8,45.6,50.64,9.699166666666668,5.3,7,High,0.0,0.141,0.859,High,True
STU0027,Lakshmi Johnson,Mathematics,2.67,5,2.67,57.0,24.5,46.68,22.0405,9.9,26,High,0.0,0.143,0.857,High,True
STU0448,Pooja Chaudhary,Mathematics,2.28,1,2.28,52.5,38.2,48.54,13.5075,4.7,19,High,0.0,0.146,0.854,High,True
STU0310,Rahul Davis,Electronics,1.94,4,1.94,64.7,30.4,48.2,17.2465,7.0,23,High,0.0,0.147,0.853,High,True
STU0083,Anjali Ansari,Computer Science,1.0,0,1.0,70.2,40.4,49.1,28.436,9.2,22,High,0.0,0.149,0.851,High,True
STU0414,Lakshmi Ahmed,Computer Science,3.37,3,3.37,59.6,24.7,46.44,14.859000000000002,2.4,10,High,0.0,0.153,0.847,High,True
STU0378,Vivaan Davis,Civil,2.25,4,2.25,44.6,35.7,49.44,12.748333333333333,3.6,25,High,0.0,0.163,0.837,High,True
STU0405,Mia Johnson,Mechanical,1.73,1,1.73,65.3,61.8,50.160000000000004,17.311833333333336,4.5,24,High,0.001,0.166,0.833,High,True
STU0017,Ishaan Rao,Electronics,1.69,1,1.69,56.1,45.0,49.9,18.505499999999998,6.0,34,High,0.0,0.167,0.833,Medium,False
STU0360,Noor Smith,Data Science,2.51,3,2.51,42.3,37.6,49.46,11.2425,6.4,14,High,0.0,0.167,0.833,High,True
STU0319,Rohan Smith,Mechanical,2.17,3,2.17,54.5,40.6,48.82,23.333333333333336,7.6,32,High,0.0,0.167,0.832,High,True
STU0333,Noor Verma,Computer Science,2.29,6,2.29,35.8,51.8,50.339999999999996,14.181833333333335,1.0,23,High,0.0,0.169,0.83,High,True
STU0283,Hassan Davis,Computer Science,1.88,0,1.88,40.8,44.7,51.1,8.715333333333334,4.3,5,High,0.0,0.173,0.827,High,True
STU0452,Vihaan Verma,Data Science,1.73,0,1.73,80.9,41.7,49.72,12.072,8.2,8,High,0.0,0.176,0.824,High,True
STU0367,Hassan Sharma,Electronics,2.71,1,2.71,54.0,36.9,49.42,8.097333333333333,5.8,7,High,0.0,0.18,0.819,High,True
STU0023,Ananya Mirza,Data Science,1.81,0,1.81,48.6,39.0,51.14,8.028666666666666,4.5,3,High,0.0,0.183,0.817,High,True
STU0189,Olivia Davis,Mathematics,1.93,3,1.93,54.5,46.0,51.0,11.149333333333335,4.6,0,High,0.0,0.19,0.81,High,True
STU0001,Sneha Reddy,Electronics,2.62,4,2.62,52.6,32.0,49.32,13.775666666666666,7.6,19,High,0.0,0.189,0.81,High,True
STU0081,Reyansh Jones,Mathematics,1.71,3,1.71,55.6,45.1,50.660000000000004,22.27766666666667,4.9,24,High,0.0,0.196,0.804,High,True
STU0259,Amara Shah,Electronics,3.15,0,3.15,56.3,39.9,49.480000000000004,6.110833333333334,2.6,0,High,0.0,0.198,0.802,High,True
STU0179,Sai Kumar,Mathematics,1.34,0,1.34,54.8,50.2,52.44,12.946833333333334,6.3,19,High,0.0,0.21,0.789,High,True
STU0476,Suresh Hassan,Data Science,1.38,4,1.38,81.4,36.6,51.1,13.652333333333333,9.0,13,High,0.0,0.214,0.786,High,True
STU0195,Omar Gupta,Civil,2.2,1,2.2,47.2,46.9,51.760000000000005,9.876499999999998,6.5,12,High,0.0,0.219,0.781,Medium,False
STU0033,Nandini Smith,Mechanical,2.64,3,2.64,51.9,50.4,51.32000000000001,8.066333333333333,7.1,7,High,0.001,0.224,0.775,High,True
STU0061,Noah Hassan,Data Science,1.34,5,1.34,51.7,31.1,52.52,12.151666666666667,8.0,18,High,0.0,0.229,0.771,Medium,False
STU0161,Tariq Ali,Civil,1.67,0,1.67,54.2,44.4,52.48,12.896833333333333,1.1,24,High,0.0,0.236,0.764,High,True
STU0131,Mia Williams,Mathematics,1.47,1,1.47,57.9,36.9,52.6,14.136500000000002,6.1,6,High,0.0,0.243,0.757,High,True
STU0143,Noor Patel,Civil,2.49,1,2.49,46.0,51.4,52.14,10.270833333333332,0.0,16,High,0.0,0.244,0.756,Medium,False
STU0356,Noor Siddiqui,Mathematics,2.46,0,2.46,38.6,49.9,52.220000000000006,13.941666666666666,2.8,15,High,0.001,0.246,0.754,Medium,False
STU0260,Hassan Smith,Mathematics,1.6,0,1.6,41.0,46.8,53.38000000000001,15.96,8.2,10,High,0.0,0.251,0.748,High,True
STU0163,Yasmin Jones,Civil,1.93,5,1.93,38.2,41.4,52.8,16.917333333333332,10.9,21,High,0.0,0.256,0.744,High,True
STU0332,Yasmin Verma,Civil,2.93,3,2.93,41.9,51.2,51.96,12.0515,7.9,6,High,0.002,0.26,0.738,Medium,False
STU0100,Priya Davis,Mechanical,2.12,0,2.12,56.2,52.5,52.96,8.785,2.2,12,High,0.0,0.262,0.737,Medium,False
STU0105,Reyansh Wilson,Data Science,1.84,3,1.84,62.4,53.7,52.779999999999994,19.478666666666665,12.1,17,High,0.002,0.274,0.725,Medium,False
STU0034,Ananya Rao,Mathematics,1.21,0,1.21,68.3,51.7,53.94,13.739500000000001,7.3,15,High,0.0,0.278,0.722,High,True
STU0380,Kavya Wilson,Mechanical,1.41,0,1.41,75.1,51.3,52.879999999999995,24.550333333333334,15.3,27,High,0.001,0.288,0.711,High,True
STU0137,Aditya Verma,Data Science,2.37,3,2.37,41.2,49.8,53.779999999999994,8.7275,7.2,14,High,0.001,0.294,0.705,High,True
STU0254,Vivaan Moore,Computer Science,1.93,4,1.93,50.1,30.4,53.38000000000001,14.921333333333333,5.4,9,High,0.0,0.304,0.696,High,True
STU0371,Yusuf Chaudhary,Mathematics,2.08,5,2.08,58.8,32.6,52.839999999999996,17.298,8.5,22,High,0.0,0.31,0.69,Medium,False
STU0243,Liam Reddy,Electronics,1.0,0,1.0,50.4,52.1,55.44,18.426000000000002,6.1,19,High,0.0,0.315,0.685,High,True
STU0411,Rahul Verma,Data Science,2.47,1,2.47,53.8,43.0,53.6,6.734500000000001,4.5,9,High,0.0,0.315,0.684,Medium,False
STU0449,Emma Chaudhary,Computer Science,1.38,0,1.38,77.0,62.8,54.7,12.229666666666667,10.1,13,High,0.002,0.315,0.682,Medium,False
STU0377,Priya Rao,Electronics,2.01,1,2.01,63.6,46.5,54.32000000000001,3.8876666666666666,0.0,10,High,0.0,0.318,0.681,High,True
STU0031,Ava Taylor,Electronics,1.32,2,1.32,67.9,44.7,54.48,16.576,4.0,19,High,0.0,0.326,0.674,High,True
STU0397,Noor Mirza,Civil,2.04,4,2.04,54.1,30.9,53.779999999999994,12.455666666666668,0.7,13,High,0.0,0.328,0.672,Medium,False
STU0148,Amir Chaudhary,Computer Science,2.15,2,2.15,65.6,41.3,53.44,13.464333333333332,3.6,15,High,0.0,0.328,0.672,High,True
